EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
13.179,11.416,20.958,14.517,10.086,2.082,-0.228,7.470,0.038,0.979,-0.128,0.000,-0.732,0.824,66.667,666625.000,1.000
13.783,12.969,21.106,14.654,11.159,6.122,3.687,10.104,0.037,0.978,-0.126,-0.061,-0.732,0.763,66.667,666626.000,1.000
13.034,12.680,19.349,13.152,10.156,8.117,5.555,9.841,0.037,0.979,-0.130,0.000,-0.671,0.824,66.667,666627.000,1.000
11.524,10.897,16.361,10.790,7.514,7.834,4.783,7.293,0.036,0.980,-0.125,0.061,-0.671,0.641,66.667,666628.000,1.000
10.349,8.694,13.435,8.944,4.644,6.421,2.748,4.555,0.037,0.981,-0.124,0.000,-0.519,0.549,66.667,666629.000,1.000
10.195,6.968,11.503,8.534,2.864,5.172,1.469,3.553,0.037,0.982,-0.125,0.000,-0.488,0.488,66.667,666630.000,1.000
11.005,6.064,10.697,9.447,2.634,4.605,1.820,4.651,0.037,0.983,-0.126,0.061,-0.488,0.458,66.667,666631.000,1.000
12.059,5.752,10.391,10.607,3.393,4.400,3.033,6.504,0.037,0.981,-0.125,0.092,-0.519,0.336,66.667,666632.000,1.000
12.251,5.309,9.524,10.574,3.969,3.831,3.649,7.184,0.034,0.977,-0.124,-0.092,-0.488,0.275,66.667,666633.000,1.000
10.811,4.040,7.370,8.570,3.503,2.441,2.993,5.843,0.034,0.976,-0.125,0.061,-0.458,0.305,66.667,666634.000,1.000
7.961,1.906,4.167,5.117,2.056,0.470,1.732,3.344,0.034,0.977,-0.129,0.122,-0.549,0.366,66.667,666635.000,1.000
4.676,-0.556,0.837,1.528,0.268,-1.431,0.955,1.263,0.033,0.975,-0.128,0.183,-0.488,0.397,66.667,666636.000,1.000
1.945,-2.705,-1.734,-1.058,-1.258,-2.735,1.123,0.681,0.033,0.974,-0.126,0.336,-0.580,0.458,66.667,666637.000,1.000
0.370,-4.003,-3.068,-2.106,-2.158,-3.315,1.811,1.648,0.030,0.976,-0.124,0.458,-0.549,0.488,66.667,666638.000,1.000
0.037,-4.112,-3.124,-1.702,-2.303,-3.389,2.211,3.206,0.030,0.977,-0.125,0.458,-0.580,0.549,66.667,666639.000,1.000
0.459,-3.007,-2.218,-0.427,-1.738,-3.082,2.113,4.133,0.029,0.979,-0.124,0.458,-0.732,0.641,66.667,666640.000,1.000
0.795,-0.974,-0.835,0.980,-0.524,-1.996,2.297,3.967,0.028,0.980,-0.122,0.488,-0.854,0.702,66.667,666641.000,1.000
0.285,1.416,0.479,1.929,1.119,0.332,3.432,3.077,0.028,0.980,-0.124,0.488,-0.916,0.793,66.667,666642.000,1.000
-1.302,3.383,1.238,2.094,2.603,3.374,4.809,1.903,0.029,0.981,-0.124,0.427,-0.916,0.763,66.667,666643.000,1.000
-3.317,4.388,1.376,1.625,3.369,5.647,5.072,0.794,0.031,0.979,-0.125,0.366,-1.068,0.885,66.667,666644.000,1.000
-4.382,4.596,1.499,1.264,3.516,6.097,3.920,0.423,0.029,0.977,-0.126,0.366,-1.007,1.038,66.667,666645.000,1.000
-3.321,4.622,2.379,1.817,3.660,4.973,2.292,1.441,0.028,0.977,-0.129,0.397,-1.068,0.977,66.667,666646.000,1.000
-0.157,4.788,4.116,3.351,4.143,3.301,1.275,3.592,0.028,0.978,-0.127,0.580,-1.221,1.099,66.667,666647.000,1.000
3.887,4.870,6.003,5.125,4.678,1.884,1.315,5.707,0.026,0.975,-0.126,0.580,-1.251,1.068,66.667,666648.000,1.000
7.305,4.462,7.182,6.283,4.753,0.922,2.242,6.689,0.029,0.975,-0.122,0.580,-1.343,1.160,66.667,666649.000,1.000
9.152,3.387,7.219,6.463,4.138,0.256,3.624,6.269,0.030,0.972,-0.124,0.580,-1.434,1.251,66.667,666650.000,1.000
9.088,1.634,6.049,5.751,2.892,-0.417,4.837,4.865,0.029,0.974,-0.125,0.702,-1.617,1.251,66.667,666651.000,1.000
6.988,-0.948,3.555,4.209,0.961,-1.571,5.039,2.957,0.030,0.977,-0.127,0.732,-1.678,1.221,66.667,666652.000,1.000
2.929,-4.642,-0.525,1.638,-1.981,-3.649,3.470,0.610,0.029,0.977,-0.128,0.702,-1.678,1.282,66.667,666653.000,1.000
-2.415,-9.381,-6.104,-2.089,-6.187,-6.597,-0.027,-2.352,0.029,0.977,-0.126,0.763,-1.801,1.251,66.667,666654.000,1.000
-7.587,-14.233,-12.151,-6.461,-11.215,-9.575,-4.600,-5.679,0.031,0.978,-0.128,0.793,-1.831,1.160,66.667,666655.000,1.000
-10.698,-17.500,-16.749,-10.225,-15.700,-11.318,-8.512,-8.410,0.032,0.976,-0.130,0.885,-1.953,1.221,66.667,666656.000,1.000
-10.447,-17.807,-18.206,-12.156,-18.190,-11.116,-10.104,-9.579,0.032,0.977,-0.127,0.946,-2.075,1.251,66.667,666657.000,1.000
-7.272,-15.394,-16.483,-12.083,-18.415,-9.571,-9.139,-9.127,0.034,0.976,-0.128,0.946,-2.075,1.282,66.667,666658.000,1.000
-3.294,-12.059,-13.301,-10.958,-17.355,-8.099,-6.939,-7.763,0.035,0.976,-0.129,0.885,-2.075,1.343,66.667,666659.000,1.000
-0.849,-9.744,-10.759,-9.970,-16.211,-7.901,-5.246,-6.237,0.034,0.974,-0.130,0.854,-2.075,1.343,66.667,666660.000,1.000
-1.126,-9.471,-10.079,-9.850,-15.750,-9.533,-5.340,-5.286,0.034,0.977,-0.128,1.007,-2.014,1.251,66.667,666661.000,1.000
-3.926,-11.213,-11.294,-10.735,-16.215,-12.701,-7.534,-5.701,0.035,0.978,-0.129,0.977,-1.862,1.221,66.667,666662.000,1.000
-7.957,-13.953,-13.333,-12.078,-17.057,-15.890,-10.542,-7.470,0.034,0.979,-0.130,0.916,-1.953,1.282,66.667,666663.000,1.000
