EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.701,-4.391,-4.903,-5.811,-8.973,-10.050,-10.878,-11.357,-0.009,0.977,-0.129,-0.580,-0.183,1.312,66.667,839969.000,1.000
-4.136,-4.713,-5.843,-6.769,-9.930,-10.331,-13.480,-13.419,-0.008,0.975,-0.133,-0.519,-0.214,1.404,66.667,839970.000,1.000
-3.643,-3.557,-5.183,-6.327,-8.902,-7.878,-13.924,-14.112,-0.007,0.975,-0.130,-0.458,-0.366,1.312,66.667,839971.000,1.000
-2.127,-0.888,-2.830,-4.266,-5.998,-3.150,-11.642,-12.588,-0.007,0.979,-0.127,-0.397,-0.488,1.343,66.667,839972.000,1.000
0.095,2.639,0.522,-1.244,-2.257,2.175,-7.337,-9.186,-0.005,0.980,-0.130,-0.336,-0.671,1.526,66.667,839973.000,1.000
2.457,5.966,3.748,1.632,0.867,6.099,-2.703,-5.339,-0.005,0.982,-0.132,-0.336,-0.641,1.556,66.667,839974.000,1.000
4.358,8.103,5.791,3.392,2.193,7.261,0.442,-2.791,-0.006,0.983,-0.130,-0.305,-0.610,1.617,66.667,839975.000,1.000
5.546,8.673,6.249,3.733,1.535,5.649,1.248,-2.458,-0.007,0.984,-0.129,-0.366,-0.671,1.770,66.667,839976.000,1.000
6.254,8.080,5.560,3.163,-0.177,2.576,0.272,-3.801,-0.005,0.985,-0.130,-0.549,-0.793,1.923,66.667,839977.000,1.000
6.698,6.971,4.444,2.466,-1.733,-0.368,-1.380,-5.411,-0.006,0.981,-0.130,-0.732,-0.977,1.801,66.667,839978.000,1.000
6.604,5.625,3.244,2.016,-2.529,-2.264,-2.960,-6.180,-0.007,0.981,-0.131,-0.793,-0.916,1.770,66.667,839979.000,1.000
5.688,4.135,2.103,1.825,-2.511,-2.703,-3.875,-5.849,-0.005,0.980,-0.131,-0.793,-1.099,1.831,66.667,839980.000,1.000
4.459,2.898,1.519,2.041,-1.637,-1.477,-3.474,-4.664,-0.003,0.983,-0.128,-0.824,-1.007,1.801,66.667,839981.000,1.000
3.967,2.395,2.092,2.889,0.065,0.935,-1.597,-2.932,-0.001,0.986,-0.127,-0.793,-1.129,1.801,66.667,839982.000,1.000
4.859,2.670,3.776,4.198,2.121,3.187,1.070,-1.035,0.001,0.984,-0.127,-0.916,-1.129,1.678,66.667,839983.000,1.000
6.939,3.335,5.750,5.384,3.687,3.945,3.350,0.436,0.002,0.983,-0.127,-1.068,-1.007,1.770,66.667,839984.000,1.000
9.398,3.878,7.000,5.877,4.024,2.765,4.085,0.902,0.006,0.981,-0.128,-1.221,-0.885,1.801,66.667,839985.000,1.000
11.323,3.864,6.977,5.506,2.950,0.046,2.567,0.335,0.007,0.977,-0.129,-1.312,-0.793,1.831,66.667,839986.000,1.000
12.166,3.131,5.859,4.559,0.998,-3.332,-0.920,-0.589,0.008,0.973,-0.129,-1.312,-0.671,1.923,66.667,839987.000,1.000
11.892,1.954,4.305,3.528,-0.797,-6.089,-4.876,-0.938,0.008,0.971,-0.129,-1.282,-0.580,1.892,66.667,839988.000,1.000
10.834,0.975,2.970,2.801,-1.396,-6.906,-7.268,-0.072,0.007,0.973,-0.130,-1.129,-0.366,1.831,66.667,839989.000,1.000
9.379,0.721,2.104,2.441,-0.421,-5.495,-7.081,1.833,0.009,0.976,-0.132,-1.038,-0.244,1.862,66.667,839990.000,1.000
7.749,1.106,1.480,2.178,1.487,-3.148,-5.319,3.622,0.008,0.980,-0.132,-1.038,-0.153,1.831,66.667,839991.000,1.000
6.038,1.575,0.744,1.690,3.150,-1.658,-3.940,4.017,0.008,0.981,-0.132,-0.916,0.000,1.923,66.667,839992.000,1.000
4.398,1.715,-0.198,0.904,3.722,-1.767,-3.970,2.761,0.007,0.987,-0.131,-0.946,0.092,1.801,66.667,839993.000,1.000
3.064,1.561,-1.154,-0.043,3.126,-2.800,-4.890,0.712,0.006,0.986,-0.133,-1.007,0.153,1.801,66.667,839994.000,1.000
2.196,1.421,-1.858,-0.999,1.851,-3.442,-5.443,-1.010,0.004,0.987,-0.132,-1.068,0.183,1.862,66.667,839995.000,1.000
1.784,1.525,-2.106,-1.871,0.520,-2.711,-4.717,-1.877,0.001,0.986,-0.134,-1.099,0.366,1.740,66.667,839996.000,1.000
1.749,1.892,-1.729,-2.520,-0.433,-0.544,-2.682,-2.152,-0.003,0.990,-0.134,-1.221,0.305,1.617,66.667,839997.000,1.000
2.131,2.457,-0.540,-2.650,-0.816,2.231,-0.238,-2.432,-0.005,0.989,-0.133,-1.190,0.275,1.343,66.667,839998.000,1.000
3.096,3.248,1.606,-1.896,-0.534,4.615,1.411,-2.954,-0.010,0.990,-0.130,-1.282,0.183,1.038,66.667,839999.000,1.000
4.752,4.388,4.628,-0.065,0.499,6.184,1.808,-3.276,-0.011,0.991,-0.133,-1.404,0.092,0.732,66.667,840000.000,1.000
7.089,5.996,8.211,2.746,2.323,7.175,1.560,-2.667,-0.011,0.991,-0.132,-1.495,-0.183,0.488,66.667,840001.000,1.000
9.949,8.051,11.928,6.177,4.770,8.032,1.580,-0.806,-0.011,0.990,-0.133,-1.434,-0.336,0.214,66.667,840002.000,1.000
12.921,10.244,15.301,9.643,7.360,8.934,2.200,1.895,-0.012,0.990,-0.136,-1.495,-0.397,-0.061,66.667,840003.000,1.000
15.488,12.116,17.954,12.578,9.529,9.774,3.221,4.715,-0.010,0.988,-0.132,-1.495,-0.610,-0.031,66.667,840004.000,1.000
17.327,13.366,19.768,14.737,10.997,10.542,4.556,7.174,-0.009,0.985,-0.135,-1.404,-0.763,-0.183,66.667,840005.000,1.000
18.352,13.950,20.776,16.129,11.797,11.670,6.386,8.943,-0.008,0.982,-0.139,-1.373,-0.824,-0.336,66.667,840006.000,1.000
18.574,14.057,21.017,16.778,12.036,13.731,8.550,9.421,-0.008,0.981,-0.134,-1.099,-0.854,-0.336,66.667,840007.000,1.000
18.126,13.919,20.593,16.731,11.680,16.180,9.871,7.979,-0.009,0.980,-0.133,-0.916,-0.946,-0.336,66.667,840008.000,1.000
17.332,13.568,19.735,16.196,10.658,16.928,8.741,4.778,-0.012,0.978,-0.135,-0.702,-1.099,-0.275,66.667,840009.000,1.000
16.544,12.910,18.723,15.499,9.187,14.187,4.786,1.026,-0.010,0.975,-0.134,-0.488,-1.129,-0.183,66.667,840010.000,1.000
15.882,11.937,17.682,14.872,7.812,8.350,-0.537,-1.760,-0.011,0.973,-0.134,-0.183,-1.160,-0.031,66.667,840011.000,1.000
15.234,10.787,16.567,14.403,7.142,1.820,-4.802,-2.549,-0.013,0.973,-0.136,0.122,-1.404,0.183,66.667,840012.000,1.000
