EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.846,2.539,2.283,-1.258,-5.416,6.622,11.016,-3.181,-0.062,0.971,-0.171,-0.977,-1.984,0.610,73.333,628513.000,1.000
-1.014,3.267,2.299,-1.579,-5.781,8.407,14.917,-1.534,-0.062,0.971,-0.170,-0.916,-2.045,0.641,73.333,628514.000,1.000
-1.725,2.783,1.623,-2.493,-6.832,6.953,15.739,0.643,-0.062,0.969,-0.172,-0.916,-1.923,0.580,73.333,628515.000,1.000
-3.174,0.952,-0.084,-4.245,-9.431,2.795,11.823,0.876,-0.062,0.969,-0.173,-0.824,-1.953,0.610,73.333,628516.000,1.000
-5.160,-1.613,-2.506,-6.456,-13.414,-1.825,4.515,-1.812,-0.060,0.971,-0.171,-0.763,-1.862,0.519,73.333,628517.000,1.000
-7.143,-3.971,-4.924,-8.300,-17.848,-4.848,-2.936,-6.299,-0.061,0.973,-0.171,-0.885,-1.831,0.488,73.333,628518.000,1.000
-8.665,-5.535,-6.697,-9.039,-21.754,-6.107,-7.796,-10.473,-0.061,0.971,-0.174,-0.763,-1.862,0.549,73.333,628519.000,1.000
-9.737,-6.388,-7.684,-8.454,-24.477,-7.011,-9.218,-12.611,-0.060,0.971,-0.172,-0.702,-1.953,0.519,73.333,628520.000,1.000
-10.748,-6.987,-8.231,-6.886,-25.717,-8.884,-8.257,-12.160,-0.061,0.970,-0.171,-0.702,-1.862,0.549,73.333,628521.000,1.000
-11.983,-7.614,-8.626,-4.908,-25.438,-11.884,-6.777,-9.765,-0.061,0.971,-0.172,-0.580,-1.923,0.336,73.333,628522.000,1.000
-13.345,-8.132,-8.925,-3.018,-23.665,-14.950,-5.963,-6.730,-0.060,0.969,-0.174,-0.610,-1.831,0.427,73.333,628523.000,1.000
-14.387,-8.058,-8.837,-1.419,-20.273,-16.069,-5.222,-4.108,-0.059,0.973,-0.174,-0.610,-1.801,0.427,73.333,628524.000,1.000
-14.520,-6.830,-7.901,0.061,-15.085,-13.096,-2.565,-1.973,-0.061,0.973,-0.172,-0.610,-1.740,0.397,73.333,628525.000,1.000
-13.316,-4.200,-5.888,1.786,-8.304,-5.405,3.515,0.373,-0.061,0.974,-0.169,-0.610,-1.740,0.366,73.333,628526.000,1.000
-10.808,-0.588,-3.008,3.867,-0.964,4.760,11.989,3.340,-0.062,0.976,-0.170,-0.519,-1.740,0.427,73.333,628527.000,1.000
-7.609,2.940,-0.057,5.812,5.150,13.042,19.168,6.312,-0.061,0.977,-0.168,-0.763,-1.617,0.305,73.333,628528.000,1.000
-4.555,5.377,2.174,6.902,8.625,16.141,21.798,8.314,-0.059,0.975,-0.173,-0.793,-1.770,0.397,73.333,628529.000,1.000
-2.191,6.444,3.447,6.842,9.512,14.275,19.873,9.098,-0.062,0.975,-0.170,-0.793,-1.740,0.366,73.333,628530.000,1.000
-0.657,6.410,3.857,5.836,8.893,10.068,15.502,8.980,-0.062,0.975,-0.171,-0.824,-1.617,0.336,73.333,628531.000,1.000
0.099,5.574,3.464,4.190,7.649,5.868,10.460,7.866,-0.062,0.973,-0.170,-0.824,-1.648,0.336,73.333,628532.000,1.000
0.202,4.134,2.192,2.059,6.026,2.744,5.767,5.246,-0.062,0.973,-0.172,-0.763,-1.678,0.275,73.333,628533.000,1.000
-0.131,2.308,0.255,-0.330,4.040,0.903,2.366,1.425,-0.063,0.975,-0.174,-0.916,-1.709,0.397,73.333,628534.000,1.000
-0.638,0.351,-1.828,-2.504,1.829,-0.094,0.827,-1.974,-0.062,0.972,-0.173,-0.916,-1.617,0.397,73.333,628535.000,1.000
-1.162,-1.563,-3.695,-4.046,-0.507,-1.448,0.353,-3.294,-0.064,0.972,-0.172,-0.946,-1.648,0.366,73.333,628536.000,1.000
-1.672,-3.348,-5.249,-4.935,-3.024,-4.461,-1.115,-2.375,-0.065,0.974,-0.173,-0.977,-1.648,0.397,73.333,628537.000,1.000
-2.098,-4.729,-6.448,-5.383,-5.408,-8.995,-4.934,-0.534,-0.061,0.973,-0.171,-0.793,-1.648,0.397,73.333,628538.000,1.000
-2.292,-5.115,-6.926,-5.415,-6.479,-12.818,-9.903,0.743,-0.063,0.973,-0.172,-0.793,-1.617,0.427,73.333,628539.000,1.000
-2.229,-4.037,-6.230,-4.867,-4.823,-13.163,-13.096,0.876,-0.063,0.973,-0.172,-0.793,-1.648,0.458,73.333,628540.000,1.000
-2.081,-1.567,-4.323,-3.615,-0.047,-8.977,-12.311,0.353,-0.063,0.974,-0.170,-0.885,-1.495,0.427,73.333,628541.000,1.000
-2.020,1.721,-1.570,-1.673,6.784,-1.675,-7.462,0.221,-0.061,0.973,-0.167,-0.916,-1.495,0.397,73.333,628542.000,1.000
-2.106,4.999,1.333,0.748,13.788,5.878,-0.474,1.406,-0.063,0.972,-0.169,-0.885,-1.495,0.397,73.333,628543.000,1.000
-2.306,7.429,3.641,3.241,19.199,11.118,5.936,4.158,-0.064,0.974,-0.175,-1.007,-1.526,0.397,73.333,628544.000,1.000
-2.564,8.476,4.822,5.236,21.981,13.014,9.784,7.560,-0.062,0.974,-0.173,-0.916,-1.526,0.397,73.333,628545.000,1.000
-2.890,8.147,4.740,6.180,22.118,12.271,10.636,9.872,-0.061,0.973,-0.171,-1.038,-1.495,0.397,73.333,628546.000,1.000
