EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-10.259,-14.165,-18.718,-7.713,-12.698,1.790,4.002,34.920,0.008,0.985,-0.097,-0.488,-0.519,1.495,66.667,328337.000,1.000
-10.984,-15.834,-20.091,-10.261,-15.282,-3.464,-3.712,30.568,0.010,0.981,-0.095,-0.366,-0.519,1.404,66.667,328338.000,1.000
-9.866,-15.010,-19.467,-11.219,-14.918,-4.947,-9.332,26.779,0.010,0.982,-0.094,-0.397,-0.549,1.556,66.667,328339.000,1.000
-6.892,-11.683,-16.446,-9.983,-11.555,-2.267,-10.357,25.363,0.011,0.985,-0.097,-0.336,-0.519,1.648,66.667,328340.000,1.000
-2.885,-7.053,-11.833,-7.053,-6.571,2.968,-6.892,26.580,0.012,0.987,-0.097,-0.305,-0.366,1.709,66.667,328341.000,1.000
0.941,-2.516,-7.029,-3.549,-1.598,8.592,-0.438,29.585,0.012,0.988,-0.097,-0.336,-0.366,1.801,66.667,328342.000,1.000
3.664,1.151,-3.094,-0.382,2.548,13.260,7.367,33.473,0.012,0.989,-0.099,-0.488,-0.366,1.770,66.667,328343.000,1.000
5.079,3.839,-0.344,2.067,5.784,16.502,14.435,37.354,0.008,0.988,-0.096,-0.427,-0.366,1.740,66.667,328344.000,1.000
5.441,5.624,1.294,3.644,7.964,18.082,18.241,39.983,0.005,0.984,-0.096,-0.458,-0.305,1.648,66.667,328345.000,1.000
5.157,6.490,2.040,4.397,8.866,18.033,17.576,40.488,0.006,0.982,-0.094,-0.488,-0.397,1.648,66.667,328346.000,1.000
4.617,6.510,2.206,4.625,8.546,16.884,13.932,39.244,0.005,0.981,-0.096,-0.397,-0.427,1.556,66.667,328347.000,1.000
4.227,5.955,2.203,4.768,7.476,15.264,9.943,37.478,0.007,0.981,-0.097,-0.336,-0.519,1.465,66.667,328348.000,1.000
4.354,5.194,2.375,5.112,6.286,13.406,7.098,36.162,0.007,0.982,-0.098,-0.244,-0.488,1.373,66.667,328349.000,1.000
5.048,4.488,2.742,5.579,5.395,11.338,5.541,35.451,0.008,0.982,-0.099,-0.092,-0.702,1.434,66.667,328350.000,1.000
6.088,4.000,3.183,6.050,5.137,9.513,5.183,35.207,0.011,0.982,-0.097,-0.061,-0.671,1.404,66.667,328351.000,1.000
6.971,3.790,3.569,6.496,5.557,8.483,6.010,35.362,0.012,0.984,-0.099,0.031,-0.671,1.434,66.667,328352.000,1.000
7.030,3.583,3.743,6.791,6.146,7.930,7.189,35.707,0.015,0.979,-0.098,0.092,-0.671,1.434,66.667,328353.000,1.000
5.867,2.956,3.692,6.702,6.256,7.033,7.549,35.959,0.016,0.977,-0.099,0.153,-0.549,1.617,66.667,328354.000,1.000
3.635,1.765,3.634,6.064,5.691,5.691,6.994,35.969,0.018,0.975,-0.099,0.366,-0.488,1.587,66.667,328355.000,1.000
1.060,0.214,3.948,5.032,4.831,4.612,6.181,35.696,0.016,0.977,-0.097,0.519,-0.366,1.709,66.667,328356.000,1.000
-1.064,-1.413,4.804,3.904,4.016,4.237,5.341,34.931,0.015,0.974,-0.097,0.671,-0.244,1.648,66.667,328357.000,1.000
-2.204,-2.868,6.130,2.962,3.309,4.398,3.915,33.260,0.014,0.979,-0.098,0.824,-0.153,1.740,66.667,328358.000,1.000
-2.017,-3.743,7.980,2.579,2.843,5.074,1.661,30.626,0.012,0.982,-0.095,0.946,-0.183,1.801,66.667,328359.000,1.000
-0.532,-3.732,10.455,3.075,2.819,6.527,-0.473,27.724,0.011,0.985,-0.098,0.946,-0.153,1.801,66.667,328360.000,1.000
1.705,-3.073,13.389,4.427,3.266,8.677,-1.285,25.663,0.010,0.989,-0.099,0.854,-0.031,1.740,66.667,328361.000,1.000
3.715,-2.447,16.198,6.074,3.854,10.947,-0.367,25.207,0.011,0.990,-0.101,0.763,-0.092,1.678,66.667,328362.000,1.000
4.600,-2.474,18.191,7.267,4.187,12.716,1.870,26.417,0.012,0.991,-0.101,0.732,-0.122,1.709,66.667,328363.000,1.000
4.115,-3.221,19.082,7.607,4.133,13.584,4.788,28.829,0.011,0.989,-0.099,0.671,-0.092,1.709,66.667,328364.000,1.000
2.678,-4.231,19.038,7.073,3.620,13.235,7.648,31.565,0.012,0.989,-0.099,0.580,-0.153,1.740,66.667,328365.000,1.000
1.124,-4.939,18.509,5.903,2.526,11.598,9.352,33.607,0.011,0.990,-0.096,0.519,-0.122,1.648,66.667,328366.000,1.000
0.173,-5.008,17.894,4.392,0.757,9.083,9.244,34.331,0.009,0.990,-0.096,0.488,-0.183,1.587,66.667,328367.000,1.000
0.015,-4.581,17.303,2.787,-1.592,6.305,7.803,33.832,0.007,0.991,-0.096,0.366,-0.336,1.495,66.667,328368.000,1.000
0.266,-4.227,16.569,1.232,-4.281,3.627,6.081,32.639,0.005,0.991,-0.096,0.183,-0.336,1.312,66.667,328369.000,1.000
0.144,-4.590,15.407,-0.297,-7.074,1.130,4.742,31.179,0.006,0.992,-0.096,-0.061,-0.427,1.068,66.667,328370.000,1.000
-0.954,-5.888,13.830,-1.800,-9.541,-0.940,3.923,29.869,0.007,0.993,-0.095,-0.183,-0.488,0.854,66.667,328371.000,1.000
-3.168,-7.730,12.222,-3.213,-11.164,-2.061,3.836,29.255,0.007,0.992,-0.094,-0.336,-0.641,0.824,66.667,328372.000,1.000
