EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5287.559,4074.702,3373.705,-7335.624,4598.026,2503.401,3374.779,5546.036,-0.020,0.968,-0.078,0.000,0.000,0.000,73.333,1.000,1.000
36733.109,27337.176,21859.303,-51539.280,31152.238,18533.225,23218.000,40620.699,-0.024,0.983,-0.091,0.000,0.000,0.000,73.333,2.000,1.000
122595.725,86383.444,67182.052,-172240.022,100035.247,64121.076,74945.730,141710.926,-0.028,0.987,-0.094,0.000,0.000,0.000,73.333,3.000,1.000
267019.455,174675.868,133828.472,-375052.768,205556.846,140232.947,154442.265,322102.965,-0.029,0.986,-0.094,0.000,0.000,0.000,73.333,4.000,1.000
436755.696,259704.938,200350.145,-606908.943,308865.687,220843.928,232828.772,545619.300,-0.030,0.986,-0.095,0.000,0.000,0.000,73.333,5.000,1.000
579046.296,306392.380,242849.753,-768078.778,364775.022,270169.724,276644.759,735032.462,-0.030,0.983,-0.098,-2.319,1.892,-2.472,73.333,6.000,1.000
646854.150,297172.660,244710.957,-753819.391,350313.509,268538.869,268299.940,806262.891,-0.032,0.982,-0.101,-2.075,2.045,-0.153,73.333,7.000,1.000
619762.515,238228.935,213111.845,-523534.998,274211.985,220922.573,213086.333,714125.765,-0.032,0.983,-0.102,-0.793,1.343,1.434,73.333,8.000,1.000
514115.384,155640.174,189358.027,-142156.101,170015.556,150102.554,135343.610,474764.404,-0.032,0.984,-0.102,-0.153,1.129,2.075,73.333,9.000,1.000
373398.020,81743.604,221932.139,255007.801,78496.286,84382.394,65762.028,148786.203,-0.030,0.987,-0.099,0.122,0.946,2.411,73.333,10.000,1.000
242914.300,36750.324,324485.285,540630.241,25490.730,42865.457,24113.985,-185990.650,-0.027,0.987,-0.099,0.214,1.007,2.441,73.333,11.000,1.000
146880.462,18984.337,466543.317,658951.030,9162.059,25507.115,9256.024,-459336.827,-0.026,0.985,-0.098,0.305,1.007,2.655,73.333,12.000,1.000
84486.680,12398.925,597778.683,641884.168,8244.904,17560.195,5442.826,-633793.030,-0.025,0.982,-0.097,0.336,1.038,2.625,73.333,13.000,1.000
43511.897,3384.762,676674.146,572218.056,3456.611,5297.847,-1451.824,-710847.950,-0.022,0.979,-0.099,0.366,1.068,2.747,73.333,14.000,1.000
14917.933,-9905.521,686589.462,523034.123,-8967.349,-12648.995,-13886.212,-710813.860,-0.022,0.977,-0.101,0.488,1.221,2.808,73.333,15.000,1.000
-4249.998,-22404.044,636940.893,520089.290,-22255.079,-28791.398,-26474.941,-654131.756,-0.023,0.978,-0.101,0.641,1.251,2.869,73.333,16.000,1.000
-16527.634,-31665.604,553145.106,547747.705,-32018.285,-38267.012,-35639.695,-562428.435,-0.023,0.978,-0.102,0.793,1.404,2.899,73.333,17.000,1.000
-26863.429,-39928.962,461654.492,579313.002,-40496.279,-43664.974,-42866.053,-463184.920,-0.025,0.981,-0.100,1.068,1.373,2.960,73.333,18.000,1.000
-38632.814,-48618.389,379548.372,599959.460,-49979.545,-49240.725,-49991.536,-381026.356,-0.026,0.985,-0.098,1.190,1.373,2.991,73.333,19.000,1.000
-49773.926,-54884.017,314810.394,608175.152,-57379.566,-54373.435,-55164.221,-324951.280,-0.025,0.987,-0.097,1.099,1.404,2.960,73.333,20.000,1.000
-55506.508,-55240.410,271783.457,606051.672,-57979.168,-55191.322,-55314.068,-288936.671,-0.025,0.989,-0.099,1.221,1.404,2.930,73.333,21.000,1.000
-54515.280,-50755.472,251981.889,594812.150,-52421.097,-51022.122,-51018.397,-264620.932,-0.023,0.990,-0.099,1.129,1.465,2.960,73.333,22.000,1.000
-50753.697,-46417.032,249968.663,578179.449,-46822.523,-46218.361,-46632.364,-249486.767,-0.023,0.988,-0.099,1.007,1.465,2.960,73.333,23.000,1.000
-48957.440,-45603.956,253174.522,563956.921,-45868.633,-45073.423,-45510.983,-242744.141,-0.025,0.988,-0.100,1.007,1.343,2.838,73.333,24.000,1.000
-49891.441,-46943.538,249864.988,558483.375,-48086.715,-46976.428,-46700.232,-238810.189,-0.027,0.988,-0.099,1.007,1.312,2.777,73.333,25.000,1.000
-50944.906,-47125.919,237587.136,560500.239,-48949.777,-48019.996,-47055.677,-229717.712,-0.027,0.988,-0.100,0.885,1.282,2.747,73.333,26.000,1.000
-50373.925,-45370.777,222459.399,562852.395,-46965.757,-46328.944,-45478.350,-213288.322,-0.030,0.989,-0.097,0.854,1.129,2.502,73.333,27.000,1.000
-49352.690,-43816.516,210598.137,560334.590,-44826.712,-43968.335,-43774.208,-195290.751,-0.029,0.989,-0.097,0.732,1.068,2.350,73.333,28.000,1.000
-49768.126,-44110.678,202070.866,554275.076,-45066.503,-43581.841,-43699.034,-182315.325,-0.029,0.990,-0.098,0.641,0.854,2.197,73.333,29.000,1.000
-51415.011,-45218.878,193411.260,549136.889,-46677.893,-44851.471,-44601.226,-174602.110,-0.029,0.989,-0.097,0.519,0.793,2.045,73.333,30.000,1.000
-52375.420,-45088.120,183599.897,546382.757,-46879.259,-45322.714,-44579.747,-167411.152,-0.029,0.988,-0.099,0.488,0.610,1.984,73.333,31.000,1.000
-51643.524,-43432.234,175222.810,543098.523,-44963.695,-43869.361,-43111.972,-157865.230,-0.026,0.987,-0.101,0.336,0.427,1.740,73.333,32.000,1.000
-50296.885,-41886.090,170194.717,535998.893,-42962.403,-41959.857,-41551.191,-147920.790,-0.026,0.988,-0.100,0.366,0.366,1.678,73.333,33.000,1.000
-49921.493,-41718.114,166674.841,525071.265,-42739.663,-41440.603,-41184.051,-140578.239,-0.026,0.988,-0.100,0.458,0.305,1.587,73.333,34.000,1.000
-50661.828,-42355.526,161356.465,512591.632,-43735.827,-42184.384,-41677.396,-135493.298,-0.025,0.987,-0.098,0.397,0.244,1.617,73.333,35.000,1.000
