EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.701,-2.149,11.011,2.493,13.146,20.108,24.650,2.318,0.000,0.987,-0.117,-0.610,-0.397,0.488,73.333,227897.000,1.000
2.852,-1.141,11.598,2.923,13.782,21.617,26.260,4.078,0.001,0.986,-0.117,-0.671,-0.458,0.336,73.333,227898.000,1.000
3.377,-0.712,12.319,4.149,14.584,21.955,26.976,5.655,0.001,0.985,-0.118,-0.702,-0.641,0.366,73.333,227899.000,1.000
4.425,-0.727,13.416,6.369,15.647,21.308,27.234,6.965,0.001,0.984,-0.119,-0.732,-0.580,0.366,73.333,227900.000,1.000
5.852,-0.934,14.772,9.096,16.703,20.059,26.452,7.007,0.001,0.984,-0.116,-0.916,-0.610,0.397,73.333,227901.000,1.000
7.241,-1.152,15.964,11.439,17.246,18.558,23.887,4.970,0.002,0.984,-0.116,-0.916,-0.732,0.519,73.333,227902.000,1.000
8.292,-1.183,16.775,12.960,17.256,17.409,20.256,1.656,0.001,0.982,-0.117,-0.946,-0.793,0.702,73.333,227903.000,1.000
8.729,-1.016,17.085,13.629,16.951,17.006,17.094,-1.432,0.001,0.982,-0.116,-0.916,-0.702,0.732,73.333,227904.000,1.000
8.406,-0.875,16.852,13.580,16.473,17.111,15.102,-3.433,0.000,0.981,-0.116,-0.916,-0.793,0.885,73.333,227905.000,1.000
7.536,-0.974,16.261,13.086,15.978,17.269,14.351,-4.055,-0.001,0.981,-0.115,-0.885,-0.854,0.977,73.333,227906.000,1.000
6.573,-1.405,15.594,12.427,15.647,17.237,15.116,-3.195,0.001,0.980,-0.114,-0.946,-0.916,0.977,73.333,227907.000,1.000
6.161,-1.937,15.241,11.878,15.699,16.983,17.436,-1.121,0.002,0.981,-0.113,-0.946,-0.977,1.160,73.333,227908.000,1.000
6.767,-2.189,15.453,11.502,16.041,16.291,20.175,1.045,0.001,0.982,-0.113,-1.129,-0.916,1.251,73.333,227909.000,1.000
8.362,-2.053,16.126,11.109,16.211,14.763,21.280,1.920,0.002,0.981,-0.112,-1.099,-0.916,1.373,73.333,227910.000,1.000
10.403,-1.813,16.832,10.409,15.745,12.305,19.507,0.984,0.002,0.980,-0.113,-1.068,-0.885,1.434,73.333,227911.000,1.000
12.212,-1.828,17.138,9.219,14.527,9.550,15.461,-1.319,0.003,0.979,-0.113,-1.007,-0.946,1.526,73.333,227912.000,1.000
13.600,-2.079,17.091,7.817,13.046,7.786,11.038,-4.015,0.004,0.980,-0.114,-0.885,-1.007,1.526,73.333,227913.000,1.000
14.710,-2.357,16.985,6.752,11.942,7.784,8.234,-6.005,0.003,0.982,-0.113,-0.946,-0.946,1.617,73.333,227914.000,1.000
15.617,-2.637,16.990,6.448,11.539,8.930,7.936,-6.393,0.004,0.981,-0.112,-0.977,-0.946,1.617,73.333,227915.000,1.000
16.076,-3.133,16.984,6.873,11.622,9.893,9.643,-5.032,0.007,0.980,-0.115,-0.977,-0.916,1.648,73.333,227916.000,1.000
15.564,-4.102,16.576,7.479,11.542,9.935,12.120,-2.667,0.005,0.980,-0.117,-0.946,-0.885,1.648,73.333,227917.000,1.000
13.826,-5.525,15.505,7.635,10.820,9.417,14.133,-0.303,0.005,0.978,-0.115,-0.854,-0.916,1.587,73.333,227918.000,1.000
11.020,-7.235,13.708,6.885,9.358,8.928,14.841,1.076,0.005,0.978,-0.113,-0.732,-0.885,1.526,73.333,227919.000,1.000
