EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-13.635,2.328,-2.139,-4.107,-4.181,-9.163,4.222,5.756,0.028,0.973,-0.144,0.397,-0.458,1.495,73.333,38337.000,1.000
-14.969,1.273,-3.490,-5.978,-3.989,-7.443,8.528,8.772,0.026,0.971,-0.145,0.488,-0.366,1.617,73.333,38338.000,1.000
-16.352,0.904,-4.169,-7.145,-3.110,-4.800,11.834,10.706,0.026,0.969,-0.148,0.549,-0.244,1.587,73.333,38339.000,1.000
-17.169,1.629,-3.642,-6.987,-1.607,-1.583,13.285,11.707,0.026,0.969,-0.149,0.702,-0.092,1.617,73.333,38340.000,1.000
-17.207,3.162,-2.077,-5.510,0.146,1.430,12.761,12.154,0.026,0.972,-0.148,0.916,0.000,1.709,73.333,38341.000,1.000
-16.661,4.666,-0.265,-3.448,1.505,3.426,10.728,12.110,0.028,0.972,-0.147,1.007,0.092,1.709,73.333,38342.000,1.000
-15.918,5.161,0.828,-1.912,1.809,3.913,7.908,11.252,0.030,0.977,-0.149,1.038,0.244,1.678,73.333,38343.000,1.000
-15.351,4.127,0.587,-1.693,0.758,2.804,5.053,9.322,0.029,0.980,-0.150,1.068,0.183,1.740,73.333,38344.000,1.000
-15.296,1.812,-1.045,-2.847,-1.428,0.396,2.638,6.565,0.026,0.979,-0.149,1.007,0.305,1.770,73.333,38345.000,1.000
-15.972,-1.079,-3.594,-4.769,-4.053,-2.657,0.472,3.689,0.027,0.980,-0.147,0.946,0.336,1.801,73.333,38346.000,1.000
-17.413,-3.676,-6.332,-6.691,-6.328,-5.381,-1.519,1.522,0.025,0.981,-0.148,0.793,0.336,1.801,73.333,38347.000,1.000
-19.239,-5.063,-8.449,-8.025,-7.596,-6.670,-2.496,0.828,0.022,0.984,-0.146,0.793,0.336,1.678,73.333,38348.000,1.000
-20.671,-4.575,-9.312,-8.527,-7.586,-5.874,-1.365,1.974,0.019,0.982,-0.147,0.732,0.305,1.556,73.333,38349.000,1.000
-20.998,-2.349,-8.866,-8.337,-6.745,-3.522,1.756,4.502,0.017,0.985,-0.144,0.488,0.427,1.343,73.333,38350.000,1.000
