EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-23.208,-12.919,-13.847,-12.859,-9.496,-9.439,-7.480,-8.911,-0.115,0.966,-0.180,2.258,0.763,1.465,73.333,565249.000,1.000
-22.970,-12.455,-12.885,-11.004,-6.545,-4.612,-2.870,-4.344,-0.114,0.966,-0.180,2.258,0.977,1.495,73.333,565250.000,1.000
-22.876,-12.412,-11.932,-9.798,-5.129,-3.679,-3.335,-2.548,-0.112,0.966,-0.179,2.228,1.160,1.617,73.333,565251.000,1.000
-23.039,-13.129,-11.505,-9.676,-5.515,-7.082,-7.676,-3.527,-0.113,0.965,-0.176,2.197,1.404,1.678,73.333,565252.000,1.000
-23.402,-14.377,-11.886,-10.438,-6.797,-12.382,-11.832,-5.558,-0.114,0.966,-0.177,2.228,1.556,1.617,73.333,565253.000,1.000
-23.880,-15.633,-13.013,-11.591,-7.766,-15.979,-12.246,-6.823,-0.114,0.966,-0.182,2.228,1.740,1.648,73.333,565254.000,1.000
-24.489,-16.377,-14.559,-12.798,-7.798,-15.275,-8.265,-6.918,-0.115,0.963,-0.184,2.258,1.953,1.587,73.333,565255.000,1.000
-25.341,-16.385,-16.064,-13.965,-7.113,-10.435,-2.064,-6.598,-0.114,0.965,-0.181,2.197,2.014,1.617,73.333,565256.000,1.000
-26.428,-15.811,-17.238,-15.042,-6.348,-4.330,2.896,-6.514,-0.112,0.966,-0.184,2.258,2.197,1.648,73.333,565257.000,1.000
-27.527,-15.032,-18.015,-15.962,-6.068,-0.319,3.826,-6.805,-0.115,0.966,-0.186,2.228,2.350,1.526,73.333,565258.000,1.000
-28.441,-14.532,-18.554,-16.809,-6.632,-0.030,0.171,-7.529,-0.114,0.967,-0.184,2.319,2.502,1.648,73.333,565259.000,1.000
-29.146,-14.624,-19.072,-17.685,-7.933,-2.699,-5.861,-8.538,-0.114,0.968,-0.184,2.289,2.747,1.556,73.333,565260.000,1.000
-29.600,-15.137,-19.446,-18.381,-9.201,-6.034,-10.560,-9.112,-0.114,0.967,-0.183,2.380,2.838,1.465,73.333,565261.000,1.000
-29.665,-15.609,-19.495,-18.579,-9.654,-8.029,-11.551,-8.690,-0.111,0.965,-0.180,2.441,3.113,1.404,73.333,565262.000,1.000
-29.221,-15.751,-19.290,-18.292,-9.328,-8.205,-9.360,-7.692,-0.110,0.966,-0.179,2.350,3.174,1.434,73.333,565263.000,1.000
-28.133,-15.474,-18.904,-17.753,-8.827,-6.979,-5.937,-6.928,-0.110,0.964,-0.181,2.258,3.448,1.495,73.333,565264.000,1.000
-26.137,-14.551,-18.033,-16.889,-8.339,-4.289,-2.177,-6.322,-0.112,0.966,-0.180,2.197,3.723,1.373,73.333,565265.000,1.000
-23.042,-12.766,-16.180,-15.317,-7.476,0.118,2.206,-4.826,-0.115,0.966,-0.182,2.258,4.028,1.343,73.333,565266.000,1.000
-19.183,-10.519,-13.538,-12.999,-6.166,5.101,6.716,-1.827,-0.118,0.966,-0.183,2.167,4.028,1.160,73.333,565267.000,1.000
-15.473,-8.812,-11.073,-10.566,-5.050,8.398,9.898,1.879,-0.121,0.964,-0.183,2.136,4.150,1.007,73.333,565268.000,1.000
-12.796,-8.334,-9.661,-8.864,-4.821,8.802,10.873,4.602,-0.124,0.964,-0.183,2.045,4.028,0.854,73.333,565269.000,1.000
-11.395,-8.812,-9.417,-8.332,-5.574,7.053,9.851,4.964,-0.126,0.964,-0.183,2.106,4.028,0.702,73.333,565270.000,1.000
-10.847,-9.277,-9.657,-8.747,-6.700,4.932,7.924,2.895,-0.126,0.967,-0.185,2.136,3.937,0.580,73.333,565271.000,1.000
-10.462,-8.782,-9.549,-9.361,-7.156,4.182,6.669,-0.082,-0.125,0.970,-0.183,1.923,3.784,0.305,73.333,565272.000,1.000
-9.738,-7.018,-8.658,-9.336,-6.182,5.419,6.832,-1.745,-0.124,0.970,-0.182,1.923,3.723,0.122,73.333,565273.000,1.000
-8.579,-4.462,-7.060,-8.266,-3.974,7.610,7.371,-0.875,-0.126,0.971,-0.181,1.648,3.693,0.061,73.333,565274.000,1.000
-7.082,-1.813,-5.020,-6.301,-1.343,9.238,6.854,1.973,-0.123,0.972,-0.181,1.648,3.632,0.061,73.333,565275.000,1.000
-5.227,0.568,-2.636,-3.835,1.076,9.701,5.223,5.295,-0.124,0.971,-0.185,1.587,3.693,0.031,73.333,565276.000,1.000
-2.941,2.577,-0.190,-1.256,3.032,9.207,3.386,7.975,-0.123,0.969,-0.184,1.434,3.601,0.061,73.333,565277.000,1.000
-0.348,4.149,1.848,1.205,4.614,8.476,2.629,10.049,-0.122,0.967,-0.185,1.404,3.540,0.031,73.333,565278.000,1.000
2.163,5.263,3.227,3.435,6.070,8.488,4.072,11.975,-0.120,0.964,-0.186,1.404,3.418,0.092,73.333,565279.000,1.000
3.950,5.738,3.774,5.059,7.078,8.955,6.768,13.163,-0.117,0.958,-0.186,1.526,3.510,0.061,73.333,565280.000,1.000
4.333,5.130,3.176,5.408,6.597,7.765,7.527,12.237,-0.117,0.956,-0.186,1.617,3.510,0.031,73.333,565281.000,1.000
3.089,3.192,1.166,4.053,3.936,3.306,3.856,8.537,-0.114,0.952,-0.188,1.770,3.448,-0.061,73.333,565282.000,1.000
0.739,0.204,-2.066,1.195,-0.537,-3.698,-3.821,2.561,-0.117,0.951,-0.191,1.953,3.387,-0.183,73.333,565283.000,1.000
-1.734,-3.215,-5.873,-2.398,-5.675,-10.913,-12.656,-4.372,-0.116,0.948,-0.189,2.350,3.448,-0.305,73.333,565284.000,1.000
-3.397,-6.367,-9.444,-5.641,-10.060,-15.902,-19.063,-10.328,-0.116,0.948,-0.188,2.625,3.540,-0.488,73.333,565285.000,1.000
-3.753,-8.639,-12.009,-7.541,-12.487,-17.186,-20.528,-13.349,-0.117,0.952,-0.188,3.082,3.754,-0.702,73.333,565286.000,1.000
-2.842,-9.600,-13.147,-7.546,-12.340,-14.655,-16.808,-12.404,-0.118,0.952,-0.186,3.113,3.754,-0.916,73.333,565287.000,1.000
-1.064,-9.010,-12.723,-5.632,-9.714,-9.254,-9.577,-7.933,-0.118,0.952,-0.183,3.052,3.662,-1.068,73.333,565288.000,1.000
1.045,-6.936,-10.800,-2.355,-5.428,-2.609,-1.357,-1.827,-0.119,0.954,-0.186,3.174,3.693,-1.251,73.333,565289.000,1.000
3.017,-3.816,-7.748,1.286,-0.762,3.400,5.435,3.420,-0.122,0.954,-0.184,3.387,3.632,-1.465,73.333,565290.000,1.000
4.679,-0.212,-4.046,4.408,3.185,7.460,9.362,5.991,-0.122,0.956,-0.184,3.418,3.662,-1.587,73.333,565291.000,1.000
6.176,3.430,-0.202,6.643,5.918,9.300,10.287,5.433,-0.124,0.955,-0.186,3.387,3.662,-1.831,73.333,565292.000,1.000
7.769,6.744,3.380,8.147,7.590,9.553,9.433,2.822,-0.123,0.958,-0.186,3.479,3.662,-2.106,73.333,565293.000,1.000
