EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-6.067,-7.599,-11.461,-2.312,-6.958,-4.624,-5.945,-4.112,-0.013,0.928,-0.302,-1.312,-0.946,0.854,73.333,286521.000,1.000
-6.874,-9.103,-13.407,-4.758,-9.861,-8.565,-11.162,-7.552,-0.015,0.925,-0.302,-1.343,-0.732,0.977,73.333,286522.000,1.000
-6.973,-11.400,-15.092,-7.171,-12.368,-13.392,-16.639,-10.842,-0.016,0.923,-0.305,-1.221,-0.763,0.946,73.333,286523.000,1.000
-5.776,-13.324,-15.319,-8.071,-12.948,-16.635,-19.421,-12.110,-0.017,0.922,-0.308,-0.916,-0.732,0.946,73.333,286524.000,1.000
-3.173,-13.666,-13.295,-6.532,-10.668,-16.279,-17.566,-10.002,-0.019,0.925,-0.308,-0.671,-0.763,0.916,73.333,286525.000,1.000
0.181,-12.037,-9.311,-2.901,-6.068,-12.188,-11.631,-5.034,-0.017,0.929,-0.306,-0.610,-0.702,0.977,73.333,286526.000,1.000
3.185,-9.070,-4.816,1.406,-0.869,-6.015,-4.212,0.646,-0.015,0.935,-0.304,-0.610,-0.671,1.068,73.333,286527.000,1.000
4.818,-5.954,-1.457,4.828,3.146,0.000,2.056,4.911,-0.016,0.940,-0.304,-0.641,-0.671,1.129,73.333,286528.000,1.000
4.498,-3.785,-0.442,6.341,4.925,4.010,5.514,6.617,-0.013,0.941,-0.306,-0.824,-0.641,1.129,73.333,286529.000,1.000
2.387,-2.946,-1.888,5.804,4.412,5.238,5.670,5.679,-0.013,0.938,-0.306,-1.038,-0.580,1.099,73.333,286530.000,1.000
-0.610,-2.918,-4.730,3.900,2.441,4.216,3.203,2.890,-0.015,0.935,-0.305,-1.038,-0.580,1.068,73.333,286531.000,1.000
-3.389,-2.772,-7.557,1.585,0.222,2.133,-0.481,-0.460,-0.017,0.933,-0.306,-1.068,-0.488,1.007,73.333,286532.000,1.000
-5.263,-1.868,-9.244,-0.451,-1.213,0.044,-3.790,-3.023,-0.019,0.933,-0.307,-1.099,-0.427,0.946,73.333,286533.000,1.000
-6.138,-0.154,-9.486,-1.934,-1.270,-1.202,-5.420,-3.704,-0.020,0.936,-0.304,-1.068,-0.610,0.763,73.333,286534.000,1.000
-6.325,1.937,-8.535,-2.838,0.123,-0.886,-4.560,-1.930,-0.024,0.938,-0.303,-1.038,-0.671,0.549,73.333,286535.000,1.000
-6.357,3.637,-6.990,-3.341,2.397,1.111,-1.405,1.757,-0.023,0.939,-0.304,-1.160,-0.793,0.366,73.333,286536.000,1.000
-6.776,4.133,-5.738,-3.760,4.548,3.967,2.600,5.571,-0.023,0.942,-0.304,-1.373,-0.824,0.305,73.333,286537.000,1.000
-7.775,3.055,-5.258,-4.212,5.771,6.331,5.692,7.586,-0.020,0.943,-0.302,-1.495,-0.977,0.183,73.333,286538.000,1.000
-9.032,0.725,-5.528,-4.503,5.813,7.052,6.576,6.803,-0.020,0.942,-0.304,-1.740,-1.007,0.092,73.333,286539.000,1.000
-9.881,-1.996,-6.077,-4.257,4.933,5.877,4.968,3.612,-0.020,0.941,-0.305,-1.740,-1.068,0.092,73.333,286540.000,1.000
-9.627,-4.093,-6.244,-3.091,3.773,3.609,1.841,-0.253,-0.018,0.939,-0.302,-1.862,-1.068,0.031,73.333,286541.000,1.000
-7.973,-4.954,-5.804,-0.968,2.974,1.282,-1.331,-2.676,-0.018,0.937,-0.302,-1.923,-1.068,0.061,73.333,286542.000,1.000
-5.373,-4.765,-5.058,1.458,2.661,-0.662,-3.620,-2.635,-0.018,0.936,-0.304,-2.014,-1.190,0.061,73.333,286543.000,1.000
-2.897,-4.332,-4.766,2.998,2.401,-2.232,-5.013,-0.837,-0.017,0.935,-0.301,-2.045,-1.129,0.153,73.333,286544.000,1.000
-1.520,-4.443,-5.350,2.796,1.810,-3.273,-5.463,1.267,-0.017,0.935,-0.300,-2.014,-1.160,0.336,73.333,286545.000,1.000
-1.472,-5.334,-6.417,1.049,1.067,-3.308,-4.302,2.826,-0.017,0.932,-0.302,-1.923,-1.160,0.366,73.333,286546.000,1.000
-2.204,-6.707,-7.269,-1.217,0.570,-2.233,-1.469,3.604,-0.018,0.932,-0.303,-1.923,-1.282,0.427,73.333,286547.000,1.000
-2.860,-8.110,-7.287,-2.918,0.300,-0.916,1.577,3.388,-0.019,0.931,-0.299,-1.801,-1.282,0.580,73.333,286548.000,1.000
